Year	1874	1878	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2024	2025	
Action	0	0	0	0	0	0	1	0	0	3	0	1	3	2	0	1	1	1	9	4	3	0	2	20	5	1	7	9	18	22	39	44	23	19	38	30	35	48	37	45	75	123	79	88	58	55	45	66	48	64	116	84	107	108	106	72	101	96	56	57	51	68	91	104	95	80	73	90	95	70	79	77	125	107	106	132	153	160	162	225	218	281	274	259	293	280	301	355	417	391	297	359	412	385	498	489	463	492	533	496	538	569	652	690	726	807	792	779	741	749	815	805	851	844	920	980	1063	1164	1262	1238	1348	1377	1480	1725	2282	3018	3246	3399	3551	3429	2613	631	173	46	13	13	2	0	0	0	
Adult	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	4	2	0	2	3	7	0	1	1	1	4	0	1	3	3	1	0	0	0	1	2	1	1	0	0	1	0	1	3	0	2	1	1	0	0	3	0	0	0	0	2	1	1	1	6	19	17	13	29	18	117	238	180	201	186	291	309	248	279	263	241	318	250	394	556	755	720	661	678	793	898	919	1352	1595	1568	1592	1239	1312	1517	1748	2135	2300	2570	3370	4206	4573	4379	4318	3844	3054	2726	2384	2416	2177	1653	333	0	0	0	0	0	0	0	0	0	
Adventure	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	5	4	4	5	9	9	13	22	26	68	75	108	81	55	70	72	71	84	71	61	57	50	86	123	63	69	73	55	45	63	52	83	90	89	107	122	119	102	105	87	74	71	55	67	99	91	109	103	102	129	137	144	139	125	147	144	151	152	197	208	186	220	232	295	303	292	263	284	269	267	213	223	224	199	213	223	236	191	216	230	221	219	251	264	274	269	288	296	288	298	331	359	381	376	430	532	520	586	620	684	707	618	709	755	711	863	1408	1965	2098	2175	2510	2434	1302	303	87	29	6	5	3	0	0	0	
Animation	0	0	0	0	0	0	0	3	0	1	0	0	0	1	2	2	1	1	1	1	1	2	8	22	20	19	8	23	125	60	152	315	282	186	173	288	241	201	171	180	242	278	236	198	185	201	227	251	230	226	223	233	208	229	194	202	211	235	198	196	158	155	166	188	193	173	194	177	192	192	183	178	185	157	182	183	191	257	255	204	262	267	377	247	256	260	283	242	256	242	270	239	264	329	299	312	293	315	317	347	368	373	414	406	380	440	450	438	405	497	509	578	619	664	791	897	878	920	1090	1148	1361	1458	1569	1793	2054	2547	2738	2784	2954	2579	905	115	51	25	1	2	0	0	0	0	
Biography	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	2	4	0	2	3	0	2	6	3	5	4	4	7	6	5	12	8	4	2	3	11	10	2	5	7	5	7	5	6	7	4	8	14	14	19	15	19	33	30	15	25	17	17	16	15	15	15	29	21	19	32	38	28	40	25	37	27	29	28	29	26	20	26	34	35	36	24	47	47	43	48	72	58	66	59	68	76	69	90	106	83	91	94	93	102	100	100	98	104	109	107	147	151	185	179	175	164	174	218	201	229	234	300	370	438	449	546	1309	2132	2386	2638	3079	3163	1041	136	31	3	0	1	0	0	0	0	
Comedy	0	0	0	0	0	1	0	1	0	4	9	35	106	188	200	224	158	229	424	338	361	391	729	1086	1319	1127	1678	2468	2961	3006	2655	2116	1578	1120	985	1198	953	877	731	775	920	966	1009	891	826	715	738	663	686	688	683	729	722	720	621	574	617	550	472	398	359	425	455	508	543	557	586	617	624	603	622	643	665	663	698	751	791	799	811	884	891	863	926	908	938	959	958	945	870	942	973	964	926	948	971	1035	1029	1058	1025	1150	1147	1255	1435	1320	1360	1357	1409	1414	1330	1472	1565	1715	1876	2034	2244	2343	2858	3162	3891	4289	4973	5625	6050	6948	9638	11777	13217	14094	15114	15003	7396	729	103	20	3	2	0	1	0	0	
Commercial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Crime	0	0	0	0	0	0	0	0	0	0	2	2	7	2	1	9	2	1	18	19	29	29	21	50	55	60	60	121	185	201	158	105	96	49	91	97	92	70	79	72	40	69	52	68	77	94	115	132	107	108	131	170	165	168	181	117	96	108	65	72	86	114	148	143	172	195	167	133	148	172	173	147	210	193	201	246	196	177	190	200	176	236	275	263	267	216	258	296	345	303	274	293	274	231	246	230	210	237	261	252	311	320	350	311	376	400	351	376	397	375	405	428	433	462	450	567	622	723	731	697	837	912	1078	1140	1598	1856	2065	2065	2394	2476	1555	290	54	10	2	3	0	0	0	0	
Documentary	1	0	0	3	1	1	3	1	1	28	52	500	764	1136	1148	1235	1317	1171	1641	985	904	921	772	952	973	791	697	926	976	510	536	517	498	450	412	381	375	307	256	233	334	243	326	292	238	221	203	367	359	241	254	466	507	392	313	254	315	321	324	241	297	277	310	323	303	378	369	451	467	406	479	438	525	485	495	566	630	651	798	873	821	819	858	857	844	926	903	861	842	840	918	946	862	860	894	979	845	848	901	921	971	951	944	1009	1032	1165	1254	1369	1318	1558	1713	1908	2112	2481	2791	3184	3763	4261	5284	6165	6510	6731	7240	7780	9171	10313	11133	11730	12022	11771	5129	373	45	4	5	2	0	0	0	0	
